Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426429403,0.424378271,0.430798859,0.423478313,0.436410206,0.459253812,0.42023552,0.292996745,0.243312939,0.246739691,0.223796637,0.237645118,0.234099209,0.20999207,0.193441603,0.199270396,0.208103427,0.20738537,0.226168859,0.230763342,0.232083393,0.229257504,0.265519012,0.24427437,0.211382309,0.263335239,0.262668178,0.264537921,0.278526441,0.266321309,0.246297302,0.254005487,0.281734121,0.279531694,0.225210457,0.211371148,0.23716471
Finland,0.415452983,0.472914504,0.497707865,0.540111081,0.593713716,0.654150683,0.671692967,0.708158361,0.780402754,0.748581552,0.760504686,0.806543565,0.85299155,0.88531631,0.957046704,0.952785919,0.962029221,0.950016653,0.940919328,0.98042424,1.028668091,1.040495814,1.095479434,1.088311099,1.093009086,1.162345963,1.189363842,1.185480727,1.195604339,1.255154153,1.196363999,1.252419502,1.267244146,1.312266577,1.287126258,1.293913713,1.321881974,1.328705055,1.42278544,1.416808553,1.287097586,1.381788446,1.377686529,1.328555905,1.231436064,1.338523516,1.260971917,1.226525535,1.231778679,1.188962837,1.185287948,1.204082635,1.180132994,1.20331367,1.178508842,1.129152232,1.158714988
France,4.714761629,4.828740427,5.13783008,5.423608181,5.977049029,6.49158092,6.749251984,7.214726185,7.833404107,7.693200238,7.24760813,7.714793866,7.817439253,8.167289812,8.408309777,8.305850712,8.225473888,7.921899757,8.118975768,8.392365759,8.669248676,8.88458267,9.049369104,9.170213966,9.282679673,9.56827121,10.17058538,10.25582285,10.25772842,10.13101258,10.37150739,10.75680506,10.61067158,10.85374224,11.04554907,11.18631366,11.32351312,11.20719332,11.32259008,11.41548589,11.34864204,11.25767108,11.06046644,11.09488996,10.47590467,10.79184447,10.37271778,10.37899494,10.49001797,10.04997775,10.10939847,9.939402462,9.865927736,10.04804871,9.835681561,8.857057185,9.406049403
Germany,10.6894559,10.71720463,10.68995291,11.41348567,12.31120081,12.99965972,13.11680467,13.57280149,14.35447539,14.10489891,13.55244427,14.46085618,14.42588573,14.94783636,15.77847111,15.26123691,14.7860402,14.26496692,14.46664171,15.00116776,15.44518325,15.31683372,15.44824131,15.50075558,15.33668296,15.09350945,14.7263139,14.43361531,14.3694954,14.23501894,14.309262,14.7810445,14.59147366,14.47067396,14.26881728,14.35744515,14.62607731,14.44220258,14.43769543,14.43561553,14.26547282,14.62458379,14.01632898,14.16478057,13.29184876,13.84974068,13.35811076,13.54289312,13.92666972,13.34897991,13.60231619,13.82584251,14.00530819,13.65425836,13.30272663,12.35654105,12.6417138
Greece,0.28492627,0.311940237,0.343431844,0.35689794,0.376998725,0.418905641,0.49907774,0.559859322,0.644161052,0.629776805,0.71384281,0.788665855,0.817884469,0.832257428,0.730931442,0.723987963,0.707463633,0.717059395,0.721075613,0.752895461,0.795277934,0.796968391,0.871489006,0.920162051,0.997450943,1.034324921,1.049336268,1.067826317,1.081911011,1.100316249,1.140458538,1.169260939,1.202568126,1.277214383,1.276937503,1.342987575,1.353690804,1.354934028,1.433937807,1.433627209,1.43857839,1.480693769,1.509652869,1.465486167,1.413640079,1.347311948,1.318223661,1.240678548,1.166953122,1.097086234,1.109914144,1.089106436,0.947622549,1.147698871,1.119773883,0.996553786,1.053126197
Hungary,0.665911497,0.67486627,0.644012739,0.668181191,0.715544804,0.770902862,0.79594924,0.821800773,0.889898583,0.917141159,0.970988142,1.037357039,1.090726764,1.166535624,1.155138173,1.158619628,1.146891686,1.151977425,1.132128284,1.162862139,1.200172348,1.194567866,1.247953377,1.219162652,1.187658586,1.163357802,1.086402305,1.04226477,1.0123907,1.020784274,1.032361314,1.05189423,1.026428588,1.041916406,1.039123959,1.008758034,1.033228494,1.0220208,1.023793632,1.040096145,1.111610252,1.094977211,1.080570724,1.065442211,0.981341152,0.999647736,0.969356883,0.904218884,0.857102278,0.857971993,0.903914848,0.920001429,0.969837181,0.97696001,0.989963874,0.974150816,1.015892667
Iceland,0.027298907,0.028627205,0.02836614,0.030004006,0.029959791,0.036373984,0.039590726,0.043059282,0.05206535,0.050788266,0.048733604,0.050390006,0.053325505,0.055668847,0.058073822,0.058901861,0.060051732,0.06164426,0.063663442,0.066981394,0.066276389,0.069297948,0.071483034,0.075408368,0.078041216,0.078077103,0.076275643,0.078963008,0.082027457,0.082943995,0.085615557,0.090604664,0.09505179,0.102852225,0.112681256,0.119626619,0.12095939,0.125680905,0.126311005,0.128810883,0.129255096,0.141776116,0.162073641,0.203222764,0.202878128,0.202989689,0.202958839,0.204833243,0.211380096,0.21106703,0.220346359,0.221190022,0.231284149,0.23925082,0.227981257,0.205599754,0.210186852
Ireland,0.243587219,0.272903166,0.295810367,0.344996182,0.346138539,0.272893586,0.283440732,0.299256378,0.314529998,0.320041765,0.299323145,0.305558042,0.325668154,0.33880223,0.373630836,0.361527926,0.352767577,0.350235418,0.34515847,0.34148538,0.358336258,0.387009929,0.391389153,0.389516232,0.401300934,0.421314107,0.436445711,0.439496784,0.44904154,0.466854568,0.475903486,0.503286194,0.525329393,0.565210599,0.597869059,0.621830039,0.659039972,0.654741355,0.637683789,0.646257192,0.674896227,0.689201581,0.70938779,0.706642737,0.645830264,0.644826683,0.616718326,0.605675583,0.592955764,0.590845836,0.628133757,0.654044307,0.657044598,0.67171823,0.672148033,0.629668425,0.627178634
Italy,3.342464199,3.62989571,3.931107281,4.247943232,4.572119665,5.047645909,5.314520546,5.573455922,5.816960996,5.815199817,5.69287127,6.008070505,6.027689271,6.175885477,6.368993259,6.205653618,6.075454151,5.954730408,5.829625084,5.920382173,5.896298179,6.057094565,6.237036625,6.390607124,6.568247982,6.677589527,6.887276468,6.859184292,6.714193226,6.69900963,6.971029641,6.968873214,7.089423764,7.252492655,7.456978124,7.55742669,7.551132568,7.500067401,7.739224497,7.911071424,7.920898822,7.884243156,7.733878205,7.602858316,7.098139774,7.332237862,7.192485011,6.997958683,6.690960699,6.344352426,6.519272338,6.541363604,6.617740067,6.67310468,6.556385551,5.92384237,6.35520986
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382639123,0.355566869,0.324442315,0.306204551,0.306132774,0.311278538,0.286846364,0.205324858,0.176960005,0.17144304,0.160445568,0.149274757,0.150380253,0.163663252,0.138939399,0.135915052,0.146391998,0.147680776,0.145867746,0.164000295,0.169047768,0.160356272,0.165334172,0.166447665,0.157763867,0.178828158,0.159625123,0.165339553,0.159345921,0.146683313,0.150259275,0.160200537,0.176267074,0.156821959,0.161308847,0.146501093,0.15196138
