region,country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Europe,Austria,39.52917922,39.81909688,40.11202923,43.01201982,46.05256128,50.71292252,53.3311803,54.51050622,57.90204653,55.20374225,53.2727203,58.03526711,53.84027824,56.61819365,59.12691975,57.86981767,54.49495453,51.85965073,51.34714396,53.19262914,54.2508962,53.87854532,54.85814886,53.37493671,53.65222663,57.95563429,62.84358691,57.5349193,58.01614924,58.54381828,61.09833106,62.93257577,63.50886651,63.75534379,62.99324357,63.54874685,68.18513079,69.29509393,75.01608797,73.71568061,74.73907971,72.65942544,68.97363969,69.78721633,63.57205332,67.81857995,64.67165447,62.19580596,62.8541789,58.63438101,60.69035828,61.64266813,64.43324237,62.07078293,63.64394629,55.99271153,58.36573077
Europe,Belgium,124.7128567,118.4759425,123.4295498,135.0960571,144.4447496,148.9869089,142.0651173,149.2597462,147.142299,141.3654671,126.0493471,132.0488291,131.6085576,136.8100227,142.2425004,136.0632477,129.3855882,121.9349209,109.2561536,113.1889578,114.2287455,113.7231912,115.2147565,117.1885942,119.7502947,126.4976687,130.7295905,128.0708481,126.065439,129.5784552,128.9287299,137.1922475,135.9140148,139.8577057,133.2634194,136.288175,136.3391315,134.1520062,141.2491284,140.1064862,136.1550201,138.2249574,137.7782844,139.1346974,124.6253854,133.4944323,120.611028,116.275754,117.3388475,108.9973776,115.2284163,116.8705901,118.786418,125.4352246,121.7124226,105.5379478,114.7493915
Europe,Bulgaria,36.74421323,39.21066618,45.22786337,51.01134378,55.74748097,62.36257521,64.57293624,66.62998488,68.63704736,69.86143558,75.1336772,75.92364619,78.43693005,82.09527548,84.92234223,89.1367164,85.46549067,87.04627669,85.98012083,85.01103495,84.87663544,87.89358395,87.76049696,86.55117215,86.79207313,74.39980756,59.88349251,58.12179819,60.26250639,56.6927608,58.7841265,56.81397168,56.08451441,53.77385928,45.80028731,43.43435325,46.36846865,44.56360214,48.57710429,46.66681992,48.54666802,49.39139297,52.73582016,50.34521601,43.53209311,45.58703702,50.52144709,45.8116769,40.66753203,43.11450149,45.83186158,43.01575123,45.69810102,42.53428696,41.28521866,35.85610272,41.73113433
Europe,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27730821,14.8010131,14.49800588,15.53970285,14.45708658,15.11930473,15.12179818,16.61967687,18.88042429,18.58401088,17.47472791,18.42690486,19.52390933,20.85704103,20.12818587,20.63667629,20.67683635,21.87534308,20.93908852,19.61674455,18.84658268,18.20561102,16.62105038,16.11060168,15.82433188,16.24327686,16.68752677,17.14030944,16.3143068,16.29748171,14.84102715,15.74312289
Europe,Cyprus,1.213839504,1.345540419,1.464236559,1.631066823,1.922657814,2.043686628,2.402040276,2.74201182,2.918705366,2.395977854,2.083546789,2.121583662,2.503130376,2.623097161,2.656944472,2.685393983,2.54292203,3.074580017,3.22491259,3.229913371,3.573223626,3.698954822,4.588158363,4.668476518,4.742381477,4.970187105,5.139325696,6.03914136,6.277545741,6.30860769,6.742839228,6.846588909,6.87375225,7.225120451,7.590814726,7.97593224,8.090136201,7.945569531,8.493194148,8.277335303,9.316718742,9.142110268,9.322075273,9.482366243,9.180957256,8.839898305,8.702955158,8.135052481,7.252134704,7.325073791,7.497763315,8.112640748,8.309006428,8.230032227,8.189192474,6.991088487,7.245366532
Europe,Czech Republic,156.2014892,156.9696305,153.7643325,160.3789719,167.2353314,172.4973544,180.9513054,180.6948552,180.6282718,181.3659915,188.1274052,193.7036039,199.1912711,201.4917056,202.5633459,195.1771659,194.2925686,191.7913021,191.540257,195.8202795,193.922221,191.9658413,190.639919,190.9357316,184.9323126,155.3293736,143.2104594,136.6361505,134.0879248,128.6390524,130.1806283,132.8777108,127.1593254,121.6485154,113.9241238,124.0967586,125.0885107,120.7810018,123.9970481,124.8437697,123.4256335,125.9692006,125.5538111,120.3261968,113.5314105,116.5229842,113.0739888,109.3107046,104.9800747,101.9736561,102.7730892,104.7907868,102.9365601,101.9162822,98.22227335,87.94114957,92.39620083
Europe,Denmark,47.70917456,54.28165636,54.01827506,56.09466989,63.90701054,67.53165856,63.16191092,66.63602745,64.98134499,59.20479521,56.42351873,62.48924089,63.89860947,65.7173667,66.2423531,66.17768198,58.92065792,57.39761354,54.39306315,55.30668211,62.66980577,63.59747851,60.97783776,59.6638355,53.98450208,55.84633941,65.52153282,59.9940064,63.37545635,68.18923401,65.38009887,79.07781211,69.16585486,64.8615237,61.49523122,57.52517808,57.67969596,56.79137194,61.99009643,56.01021717,53.27899657,61.67135853,56.83839765,54.15555769,50.5546539,51.26013349,46.29977641,40.91295627,43.36819735,40.01792847,36.73780437,37.90138276,35.28830798,35.59004133,32.4581252,26.83046997,28.09712619
Europe,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46050944,38.48119852,38.96029236,37.97049801,39.18628914,41.06889691,37.50671786,27.22701961,22.69624776,22.66441206,20.48039617,21.66529013,21.36725917,18.80440744,17.25437689,17.75588453,18.35488749,18.36261229,20.3413668,20.3980134,20.34325862,19.95447982,23.68478361,21.54262124,18.58171039,23.43397314,23.47500727,22.82645165,24.46960112,23.52479577,21.35508026,22.08746794,24.59592534,24.14012397,18.30901662,15.88702765,17.99121801
Europe,Finland,24.74267953,28.08430394,28.8730225,33.15879542,38.8594562,43.17136035,43.34942586,44.83398753,50.4731076,46.021634,46.95490669,53.26395215,52.49997141,55.48580353,57.40914949,57.46683214,48.49535257,46.96549217,45.49450981,48.25054104,53.35850577,53.187401,56.01156606,55.25509927,55.66278202,57.48325452,56.72075327,54.63399806,56.31306023,62.89838451,58.6037231,64.82191585,62.83743836,60.2023688,59.86731183,58.84721478,63.83111748,66.64263866,74.88763691,68.77353401,58.18575218,68.54248913,66.31241172,58.58423592,56.18614586,63.9152012,57.07865483,51.04518145,52.04918933,47.66042588,44.94120539,47.7062681,44.99817164,46.53189172,43.09585003,36.73691724,37.1900913
Europe,France,329.4457043,330.9765898,355.9349529,369.2797036,404.4060507,433.7340257,453.5699846,477.7859536,518.8168971,500.4774973,457.1122717,509.585804,493.0768227,497.6554973,510.1697182,485.0351498,441.8281285,418.5872374,402.8027237,387.694151,381.8176671,369.914113,362.373829,359.1385357,370.4969721,367.2412411,390.6647024,379.4431714,362.030084,348.7428091,356.1613618,372.5356788,361.1577446,384.8641233,384.3630461,381.4997777,383.4074656,380.1304597,387.1629362,389.1086016,389.7707404,380.0518252,370.4644724,369.7467813,354.8028636,360.3621609,334.1474971,335.5632869,334.9286309,301.5086387,307.4825166,313.0854276,317.8183059,306.6939758,299.2870874,251.5501142,273.5515565
Europe,Germany,910.4138464,901.037798,892.4161205,944.755393,1011.924371,1043.394269,1045.121274,1067.326703,1116.424396,1085.32047,1025.299707,1093.411773,1072.513622,1052.745497,1104.195079,1077.810589,1043.903174,1003.333231,1017.950677,1038.335007,1045.813908,1037.267326,1031.43128,1017.015362,1003.815095,1007.605881,969.7032103,923.7157864,916.2724362,896.9315114,889.4009689,914.8445376,887.9933553,879.0361843,855.9154709,854.428314,871.672554,859.047318,861.9914128,847.5257667,826.31763,843.777148,811.0682052,809.3684134,753.5898514,783.1632602,763.6899139,773.0012637,797.571543,751.0808174,755.6309983,770.4571786,760.948652,733.112185,680.0760413,600.7850006,628.894988
Europe,Greece,22.51197496,23.73047464,25.962037,27.22102871,27.84137041,29.8222654,37.21941394,41.86056091,48.93818526,48.24915286,56.17072752,63.06412479,67.13287914,65.20725847,54.08328867,52.93883975,52.59625713,52.58444917,54.84453183,56.88234978,60.22770278,60.13429326,67.06103642,71.65326016,78.50068611,81.52086338,81.54722242,84.18865961,85.37486711,86.68822569,88.72251197,89.88681304,93.32999288,98.80180224,97.27318084,102.6026969,104.7270384,103.7449524,107.4780915,107.4359814,107.7782561,108.2878101,112.750828,107.7611614,102.6778973,94.60262913,94.48825665,88.22761906,79.13006101,75.58882215,73.23138425,69.82582218,54.49306882,72.68881275,68.5582059,55.98721996,56.50365403
Europe,Hungary,59.50271857,59.3480782,55.28248701,56.42111654,59.53049445,62.96870338,64.08076757,65.44305997,69.88957003,71.70692774,72.81239789,76.07949309,80.51270441,85.48496513,84.38784784,83.10175216,81.46660352,81.57695725,77.76119749,79.27940493,79.52635409,77.90901599,79.19859479,75.05612232,71.33896229,70.92228359,65.64684818,62.08528149,58.78135066,58.18686829,57.92326364,58.75745357,57.24952592,57.87759513,58.62024302,55.31671969,56.67331699,55.92843174,58.02497239,57.34436111,57.53068613,57.40336849,55.40586603,54.19325342,48.22808168,48.70774855,48.68266469,44.59993082,41.99770881,41.29257605,43.84307553,44.67497208,46.918774,47.33672263,47.12621776,44.59452899,45.7186752
Europe,Iceland,1.49721614,1.602679412,1.545942204,1.654885918,1.506428845,1.528197329,1.663034915,1.779864604,2.03538928,1.904373611,1.787725371,1.815375686,1.885401919,2.009683535,1.995649631,1.885669713,1.882387852,1.721086589,1.749798114,1.872636279,1.873113545,1.915635908,1.987785342,2.082016516,2.235348088,2.241926608,2.12485878,2.216840786,2.304434132,2.326923261,2.371062989,2.625483925,2.600861103,2.607664496,2.645961203,2.781037263,2.653432308,2.758856249,2.79360831,2.897181659,2.902284088,2.954544987,3.059693272,2.797919216,2.6139981,2.533216561,2.511135175,2.509147717,2.669066636,2.703771967,2.918681549,2.763752125,3.090019162,3.254385545,2.828247114,1.814634811,1.849702487
Europe,Ireland,19.98260137,22.67331422,24.68988168,29.20467178,29.12574282,21.46948479,22.44098876,23.23506347,24.2645027,24.75843181,23.23737419,23.78993681,24.98094526,26.21608445,28.68604207,27.37236492,26.44915445,26.05863228,25.74490263,25.35307601,26.85481654,28.63212479,29.74397079,29.09234917,29.8141759,30.95562953,31.59919672,31.75146374,32.21061788,33.14344068,33.92293062,35.65469008,37.3517506,40.00419034,42.1244773,43.58666339,46.37514904,45.66477804,45.28253037,45.51288143,47.6702345,47.54005236,48.2869473,47.79592859,42.82096308,42.5251756,38.87283723,38.76032757,37.414198,37.05043789,38.88049796,40.46361565,39.32160371,39.08989022,37.4597031,33.03477049,34.78081383
Europe,Italy,204.8693128,222.6822226,246.1820643,266.4680746,288.272621,320.4091899,342.3106781,357.7597322,374.8340461,374.9312316,368.743288,384.3465635,378.7376527,377.1578396,388.8446308,383.184528,374.0502645,370.5848574,353.1315467,355.4553973,354.3900673,362.5543836,378.1589368,383.8487813,403.2167651,403.7807454,407.1947712,403.6161836,396.5090388,393.3784829,413.115582,407.862859,414.4613032,426.3135873,427.2131599,434.378503,429.5163826,433.0112573,450.8084207,468.2914471,470.1966255,467.0806124,458.0339287,442.4779324,391.5353739,397.1161395,388.5468145,370.9857047,341.3720824,318.7929637,334.3757022,331.4017425,335.4611355,336.08236,328.5533475,283.7949916,311.1695009
